"r" "v" "b"
42.6728 29.8756 20.5524
45.2591 31.5093 21.5433
48.0022 33.2323 22.5818
50.9115 35.0497 23.6707
53.997 36.9667 24.8117
57.2696 38.9882 26.0081
60.7403 41.1208 27.2619
64.4221 43.3699 28.5764
68.327 45.7418 29.9541
72.4688 48.243 31.3985
76.8606 50.8817 32.9116
81.521 53.6646 34.4988
86.4614 56.6006 36.1618
91.704 59.6955 37.9052
97.2632 62.9605 39.7325
103.16 66.4036 41.6483
109.414 70.0352 43.6562
116.049 73.8651 45.7609
123.085 77.9064 47.9677
130.547 82.1679 50.2807
138.464 86.6628 52.7046
146.859 91.4016 55.2461
155.765 96.4009 57.9105
165.208 101.673 60.7033
175.226 107.233 63.6306
185.852 113.098 66.6987
197.122 119.284 69.9151
209.074 125.807 73.2875
221.751 132.688 76.8215
235.199 139.946 80.5275
249.465 147.602 84.4107
264.596 155.68 88.4814
280.648 164.194 92.7468
297.669 173.175 97.2202
315.716 182.649 101.908
334.873 192.637 106.82
355.179 203.177 111.972
376.727 214.295 117.374
399.576 226.024 123.036
423.826 238.393 128.969
449.537 251.441 135.192
476.818 265.196 141.713
505.751 279.714 148.549
536.449 295.019 155.711
569.006 311.162 163.223
603.534 328.19 171.094
640.162 346.153 179.347
679.007 365.096 187.998
720.218 385.08 197.067
763.914 406.16 206.57
810.285 428.389 216.533
859.437 451.827 226.975
911.588 476.552 237.92
966.949 502.632 249.389
1025.6 530.143 261.418
1087.84 559.161 274.025
1153.83 589.771 287.239
1223.82 622.037 301.095
1298.07 656.055 315.622
1376.83 691.94 330.839
1460.32 729.824 346.804
1548.85 769.736 363.541
1642.87 811.849 381.076
1742.55 856.29 399.464
